Animal,Class,Scientific Name,Sound / Vocalization,Emotion Label,Context / Trigger
Small Indian Civet,Mammal,Viverricula indica,Chittering,Playful,
Sandpiper variant 24,Bird,Scolopacidae sp.,Soft contact calls,Content/Comfort,
Green Bee-eater,Bird,Merops orientalis,Aggressive scolding,Aggression/Defense,
Musk Deer,Mammal,Moschus moschiferus,Mating call (vocal),Courtship/Excited,when separated from group
Moorhen,Bird,Gallinula chloropus,Wing-flap displays,Excitement/Display,when separated from group
Indian Palm Squirrel variant 46,Mammal,Funambulus palmarum,"Squeak, contact call",Contact/Neutral,in presence of human
Indian Peafowl,Bird,Pavo cristatus,"Chirp, cheep",Contact/Neutral,
Mugger Crocodile,Reptile,Crocodylus palustris,Vocal chirp (rare),Contact,
Barn Owl,Bird,Tyto alba,Soft contact calls,Content/Comfort,
Pied Bushchat,Bird,Saxicola caprata,Wing-flap displays,Excitement/Display,near nesting site
Cattle Egret,Bird,Bubulcus ibis,Bill-clacking,Threat,
Domestic Sheep,Mammal,Ovis aries,"Roar, long call",Territorial/Aggressive,
Saltwater Crocodile,Reptile,Crocodylus porosus,Low growl-like hiss,Alarm/Alert,
Pied Bushchat,Bird,Saxicola caprata,Mobbing calls,Group Alarm,when threatened
Common Krait,Reptile,Bungarus caeruleus,Splash (aquatic),Startle/Escape,
Common Krait variant 70,Reptile,Bungarus caeruleus,Breathing sound,Relaxed,
Cattle Egret,Bird,Bubulcus ibis,Mobbing calls,Group Alarm,near nesting site
Moorhen,Bird,Gallinula chloropus,Purring or soft chatter,Affiliative/Relaxed,
Himalayan Tahr,Mammal,Hemitragus jemlahicus,"Roar, long call",Territorial/Aggressive,
Rusty-spotted Cat variant 62,Mammal,Prionailurus rubiginosus,"Squeak, contact call",Contact/Neutral,
Asian Openbill variant 30,Bird,Anastomus oscitans,"Song, melodious trills",Courtship/Excited,
Indian Palm Squirrel,Mammal,Funambulus palmarum,"Squeak, contact call",Contact/Neutral,
Cattle Egret,Bird,Bubulcus ibis,Purring or soft chatter,Affiliative/Relaxed,
Indian Pond Heron,Bird,Ardeola grayii,Aggressive scolding,Aggression/Defense,at dusk
Bonnet Macaque,Mammal,Macaca radiata,"Purr, contented vocalization",Contentment/Relaxed,
Woodpecker,Bird,Picidae sp.,Wing-flap displays,Excitement/Display,during foraging
Fishing Cat,Mammal,Prionailurus viverrinus,"Purr, contented vocalization",Contentment/Relaxed,when separated from group
Saw-scaled Viper variant 72,Reptile,Echis carinatus,Rattle (some species),Warning,
Domestic Sheep variant 57,Mammal,Ovis aries,"Growl, snarl",Aggression,near nesting site
Brahminy Starling,Bird,Sturnia pagodarum,Distress squeal,Distress/Separation,at dusk
Green Bee-eater,Bird,Merops orientalis,"Alarm call, harsh chips",Alarm/Alert,
Wild Yak,Mammal,Bos grunniens,"Purr, contented vocalization",Contentment/Relaxed,
Sambar Deer variant 40,Mammal,Rusa unicolor,Hiss,Threat/Avoidance,
House Sparrow variant 0,Bird,Passer domesticus,Mobbing calls,Group Alarm,
Gaur variant 39,Mammal,Bos gaurus,Hiss,Threat/Avoidance,
Striped Hyena variant 66,Mammal,Hyaena hyaena,"Trumpet, rumble",Alarm/Excited,at dawn
Domestic Cat,Mammal,Felis catus,"Squeak, contact call",Contact/Neutral,
Common Krait,Reptile,Bungarus caeruleus,Huffing,Defensive,during foraging
Indian Grey Hornbill,Bird,Ocyceros birostris,"Alarm call, harsh chips",Alarm/Alert,
Gaur variant 39,Mammal,Bos gaurus,"Roar, long call",Territorial/Aggressive,during mating display
Indian Flying Fox,Mammal,Pteropus giganteus,Loud bawl,Distress/Alarm,
Star Tortoise,Reptile,Geochelone elegans,Breathing sound,Relaxed,
Chital,Mammal,Axis axis,Sniffing/grunting,Exploration/Foraging,
Black-headed Ibis variant 29,Bird,Threskiornis melanocephalus,Purring or soft chatter,Affiliative/Relaxed,
Indian Pond Heron,Bird,Ardeola grayii,Purring or soft chatter,Affiliative/Relaxed,
Wild Boar,Mammal,Sus scrofa cristatus,Loud bawl,Distress/Alarm,
House Sparrow,Bird,Passer domesticus,Soft contact calls,Content/Comfort,
Green Bee-eater variant 27,Bird,Merops orientalis,"Alarm call, harsh chips",Alarm/Alert,when separated from group
Sloth Bear,Mammal,Melursus ursinus,Sniffing/grunting,Exploration/Foraging,
Barasingha,Mammal,Rucervus duvaucelii,"Bark, woof",Alert/Excited,
House Sparrow,Bird,Passer domesticus,Distress squeal,Distress/Separation,
Indian Pangolin variant 48,Mammal,Manis crassicaudata,"Purr, contented vocalization",Contentment/Relaxed,
Garden Lizard,Reptile,Calotes versicolor,Slow low moan,Distress,
Hanuman Langur,Mammal,Semnopithecus entellus,Hiss,Threat/Avoidance,
Sarus Crane,Bird,Grus antigone,"Chirp, cheep",Contact/Neutral,at dawn
Indian Bullfrog,Amphibian,Hoplobatrachus tigerinus,Low moan,Threat,when threatened
Hanuman Langur,Mammal,Semnopithecus entellus,"Whine, whimper",Distress/Anxious,when separated from group
Bar-headed Goose,Bird,Anser indicus,"Song, melodious trills",Courtship/Excited,
Mugger Crocodile,Reptile,Crocodylus palustris,Breathing sound,Relaxed,during foraging
Tree Sparrow variant 25,Bird,Passer montanus,"Song, melodious trills",Courtship/Excited,when separated from group
Himalayan Black Bear,Mammal,Ursus thibetanus,Chittering,Playful,when separated from group
Little Egret variant 31,Bird,Egretta garzetta,Wing-flap displays,Excitement/Display,
Sarus Crane variant 19,Bird,Grus antigone,Wing-flap displays,Excitement/Display,near nesting site
Black-headed Ibis variant 29,Bird,Threskiornis melanocephalus,Bill-clacking,Threat,
Common Krait,Reptile,Bungarus caeruleus,Silent (body-language),Neutral/Calm,near nesting site
Great Indian Bustard,Bird,Ardeotis nigriceps,Distress squeal,Distress/Separation,
Himalayan Tahr variant 54,Mammal,Hemitragus jemlahicus,Hiss,Threat/Avoidance,
Water Buffalo variant 55,Mammal,Bubalus bubalis,"Growl, snarl",Aggression,at dawn
Rock Pigeon variant 6,Bird,Columba livia,"Song, melodious trills",Courtship/Excited,near nesting site
Plover,Bird,Charadriidae sp.,"Chirp, cheep",Contact/Neutral,
Water Buffalo,Mammal,Bubalus bubalis,"Bark, woof",Alert/Excited,near nesting site
Little Egret variant 31,Bird,Egretta garzetta,"Song, melodious trills",Courtship/Excited,
Water Buffalo variant 55,Mammal,Bubalus bubalis,"Trumpet, rumble",Alarm/Excited,when threatened
Saltwater Crocodile variant 75,Reptile,Crocodylus porosus,Jaw clack,Threat,during foraging
Fantail variant 33,Bird,Rhipidura sp.,"Mimicry, learned sounds",Curiosity/Exploration,at dusk
Moorhen,Bird,Gallinula chloropus,"Song, melodious trills",Courtship/Excited,
Indian Peafowl variant 1,Bird,Pavo cristatus,"Song, melodious trills",Courtship/Excited,
Musk Deer,Mammal,Moschus moschiferus,Sniffing/grunting,Exploration/Foraging,
Indian Nightjar variant 32,Bird,Caprimulgus asiaticus,Bill-clacking,Threat,
Domestic Sheep,Mammal,Ovis aries,Hiss,Threat/Avoidance,at dusk
Indian Roller variant 7,Bird,Coracias benghalensis,Distress squeal,Distress/Separation,in presence of human
Dhole,Mammal,Cuon alpinus,"Growl, snarl",Aggression,in presence of human
Bengal Tiger,Mammal,Panthera tigris tigris,"Trumpet, rumble",Alarm/Excited,
Common Kingfisher variant 10,Bird,Alcedo atthis,Distress squeal,Distress/Separation,
Indian Hare,Mammal,Lepus nigricollis,"Squeak, contact call",Contact/Neutral,near nesting site
Sarus Crane variant 19,Bird,Grus antigone,"Chirp, cheep",Contact/Neutral,
Chital variant 41,Mammal,Axis axis,"Squeak, contact call",Contact/Neutral,
Dhole,Mammal,Cuon alpinus,Mating call (vocal),Courtship/Excited,
Black-headed Ibis variant 29,Bird,Threskiornis melanocephalus,Distress squeal,Distress/Separation,near nesting site
Asian Koel variant 3,Bird,Eudynamys scolopaceus,Distress squeal,Distress/Separation,
Bengal Fox variant 65,Mammal,Vulpes bengalensis,"Squeak, contact call",Contact/Neutral,
Woodpecker,Bird,Picidae sp.,Fleeing chatter,Fear/Escape,during mating display
Saw-scaled Viper variant 72,Reptile,Echis carinatus,Huffing,Defensive,
Polar Bear,Mammal,Ursus maritimus,"Roar, long call",Territorial/Aggressive,
Indian Pangolin variant 48,Mammal,Manis crassicaudata,Loud bawl,Distress/Alarm,when threatened
Bar-headed Goose variant 20,Bird,Anser indicus,"Mimicry, learned sounds",Curiosity/Exploration,
Rose-ringed Parakeet,Bird,Psittacula krameri,Mobbing calls,Group Alarm,
Fantail Flycatcher,Bird,Rhipidura,"Alarm call, harsh chips",Alarm/Alert,
Striped Hyena variant 66,Mammal,Hyaena hyaena,Mating call (vocal),Courtship/Excited,
Common Myna,Bird,Acridotheres tristis,"Chirp, cheep",Contact/Neutral,
African Elephant,Mammal,Loxodonta africana,Sniffing/grunting,Exploration/Foraging,during mating display
Black-headed Ibis,Bird,Threskiornis melanocephalus,"Chirp, cheep",Contact/Neutral,
Black Drongo,Bird,Dicrurus macrocercus,"Chirp, cheep",Contact/Neutral,at dawn
Bonnet Macaque,Mammal,Macaca radiata,Chittering,Playful,
Brown Palm Civet,Mammal,Paradoxurus jerdoni,Hiss,Threat/Avoidance,
Plover variant 23,Bird,Charadriidae sp.,Purring or soft chatter,Affiliative/Relaxed,
Asian Koel variant 3,Bird,Eudynamys scolopaceus,Bill-clacking,Threat,
Indian Roller,Bird,Coracias benghalensis,"Alarm call, harsh chips",Alarm/Alert,during mating display
Arctic Fox,Mammal,Vulpes lagopus,"Squeak, contact call",Contact/Neutral,
Rusty-spotted Cat variant 62,Mammal,Prionailurus rubiginosus,Sniffing/grunting,Exploration/Foraging,
Saltwater Crocodile variant 75,Reptile,Crocodylus porosus,Vocal chirp (rare),Contact,
Dhole variant 51,Mammal,Cuon alpinus,"Whine, whimper",Distress/Anxious,at dawn
Woodpecker variant 18,Bird,Picidae sp.,"Alarm call, harsh chips",Alarm/Alert,during foraging
Sambar Deer,Mammal,Rusa unicolor,"Trumpet, rumble",Alarm/Excited,
Small Indian Civet variant 64,Mammal,Viverricula indica,"Squeak, contact call",Contact/Neutral,
Gharial variant 77,Reptile,Gavialis gangeticus,Breathing sound,Relaxed,at dusk
Leopard Cat,Mammal,Prionailurus bengalensis,"Squeak, contact call",Contact/Neutral,
Moorhen variant 26,Bird,Gallinula chloropus,Mobbing calls,Group Alarm,
Leopard Cat variant 61,Mammal,Prionailurus bengalensis,"Trumpet, rumble",Alarm/Excited,
Honey Bee,Insect,Apis cerana,Clicking,Communication,
Sandpiper variant 24,Bird,Scolopacidae sp.,"Song, melodious trills",Courtship/Excited,
Asian Openbill,Bird,Anastomus oscitans,"Song, melodious trills",Courtship/Excited,
Rusty-spotted Cat,Mammal,Prionailurus rubiginosus,"Roar, long call",Territorial/Aggressive,
Himalayan Tahr variant 54,Mammal,Hemitragus jemlahicus,"Roar, long call",Territorial/Aggressive,
Indian Grey Hornbill variant 16,Bird,Ocyceros birostris,"Song, melodious trills",Courtship/Excited,at dusk
Clownfish,Fish,Amphiprioninae,Mating vibration,Courtship,when separated from group
Clownfish,Fish,Amphiprioninae,Fleeing dash,Fear,
Indian Elephant variant 34,Mammal,Elephas maximus indicus,Chittering,Playful,
Musk Deer,Mammal,Moschus moschiferus,"Purr, contented vocalization",Contentment/Relaxed,when separated from group
Indian Wolf variant 50,Mammal,Canis lupus pallipes,Hiss,Threat/Avoidance,
Indian Leopard variant 36,Mammal,Panthera pardus fusca,Mating call (vocal),Courtship/Excited,
Water Buffalo,Mammal,Bubalus bubalis,"Roar, long call",Territorial/Aggressive,during foraging
Asian Openbill,Bird,Anastomus oscitans,Aggressive scolding,Aggression/Defense,
Common Krait variant 70,Reptile,Bungarus caeruleus,Hiss,Threat/Defense,
Gray Wolf,Mammal,Canis lupus,"Purr, contented vocalization",Contentment/Relaxed,
Rock Pigeon,Bird,Columba livia,Distress squeal,Distress/Separation,at dusk
Common Myna,Bird,Acridotheres tristis,Soft contact calls,Content/Comfort,
Gaur,Mammal,Bos gaurus,"Roar, long call",Territorial/Aggressive,
Rhesus Macaque,Mammal,Macaca mulatta,Loud bawl,Distress/Alarm,
Fishing Cat,Mammal,Prionailurus viverrinus,"Roar, long call",Territorial/Aggressive,at dawn
House Crow,Bird,Corvus splendens,Purring or soft chatter,Affiliative/Relaxed,during foraging
Wild Boar,Mammal,Sus scrofa cristatus,"Whine, whimper",Distress/Anxious,
Tree Sparrow,Bird,Passer montanus,"Song, melodious trills",Courtship/Excited,when threatened
Domestic Cat,Mammal,Felis catus,Mating call (vocal),Courtship/Excited,
Indian Elephant variant 34,Mammal,Elephas maximus indicus,Sniffing/grunting,Exploration/Foraging,
Golden Jackal,Mammal,Canis aureus,"Growl, snarl",Aggression,
House Sparrow,Bird,Passer domesticus,Purring or soft chatter,Affiliative/Relaxed,near nesting site
Golden Eagle,Bird,Aquila chrysaetos,Wing-flap displays,Excitement/Display,
Striped Hyena,Mammal,Hyaena hyaena,Sniffing/grunting,Exploration/Foraging,in presence of human
Walking Catfish,Fish,Clarias batrachus,Tail slap,Threat/Startle,
Indian Vulture,Bird,Gyps indicus,"Chirp, cheep",Contact/Neutral,
Black Drongo variant 12,Bird,Dicrurus macrocercus,"Chirp, cheep",Contact/Neutral,
Asian Koel,Bird,Eudynamys scolopaceus,Fleeing chatter,Fear/Escape,when separated from group
Domestic Dog variant 58,Mammal,Canis familiaris,"Trumpet, rumble",Alarm/Excited,
Brahminy Kite,Bird,Haliastur indus,"Mimicry, learned sounds",Curiosity/Exploration,when separated from group
Black-headed Ibis,Bird,Threskiornis melanocephalus,"Alarm call, harsh chips",Alarm/Alert,when threatened
Common Toad,Amphibian,Duttaphrynus melanostictus,Silence (hiding),Fear/Hide,
Sarus Crane,Bird,Grus antigone,"Mimicry, learned sounds",Curiosity/Exploration,
Greater Coucal,Bird,Centropus sinensis,Bill-clacking,Threat,at dusk
White Rhinoceros,Mammal,Ceratotherium simum,"Trumpet, rumble",Alarm/Excited,in presence of human
Gharial variant 77,Reptile,Gavialis gangeticus,Rattle (some species),Warning,
Tree Sparrow variant 25,Bird,Passer montanus,Bill-clacking,Threat,during mating display
Striped Hyena,Mammal,Hyaena hyaena,"Bark, woof",Alert/Excited,
Dragonfly,Insect,Odonata,Low hum,Territorial,
Rusty-spotted Cat variant 62,Mammal,Prionailurus rubiginosus,Mating call (vocal),Courtship/Excited,
Plover variant 23,Bird,Charadriidae sp.,Fleeing chatter,Fear/Escape,
Small Indian Civet variant 64,Mammal,Viverricula indica,"Whine, whimper",Distress/Anxious,during foraging
Indian Vulture,Bird,Gyps indicus,Bill-clacking,Threat,
Rhesus Macaque,Mammal,Macaca mulatta,Hiss,Threat/Avoidance,
Sarus Crane,Bird,Grus antigone,Aggressive scolding,Aggression/Defense,
Wild Boar,Mammal,Sus scrofa cristatus,Chittering,Playful,when separated from group
Sloth Bear variant 38,Mammal,Melursus ursinus,Loud bawl,Distress/Alarm,
Domestic Cat variant 59,Mammal,Felis catus,Mating call (vocal),Courtship/Excited,
Brahminy Starling,Bird,Sturnia pagodarum,"Chirp, cheep",Contact/Neutral,
Bonnet Macaque,Mammal,Macaca radiata,"Roar, long call",Territorial/Aggressive,during mating display
Domestic Cat variant 59,Mammal,Felis catus,Sniffing/grunting,Exploration/Foraging,
Indian Wolf,Mammal,Canis lupus pallipes,"Purr, contented vocalization",Contentment/Relaxed,
Asian Koel variant 3,Bird,Eudynamys scolopaceus,"Alarm call, harsh chips",Alarm/Alert,
Fantail variant 33,Bird,Rhipidura sp.,Bill-clacking,Threat,
Fantail Flycatcher,Bird,Rhipidura,"Mimicry, learned sounds",Curiosity/Exploration,
Common Toad,Amphibian,Duttaphrynus melanostictus,Flood-call,Alarm/Startle,
Indian Palm Squirrel variant 46,Mammal,Funambulus palmarum,"Bark, woof",Alert/Excited,near nesting site
Rose-ringed Parakeet,Bird,Psittacula krameri,"Chirp, cheep",Contact/Neutral,
Sambar Deer variant 40,Mammal,Rusa unicolor,Chittering,Playful,
Indian Roller,Bird,Coracias benghalensis,Wing-flap displays,Excitement/Display,
Water Buffalo,Mammal,Bubalus bubalis,"Squeak, contact call",Contact/Neutral,at dawn
Red Junglefowl variant 22,Bird,Gallus gallus,Aggressive scolding,Aggression/Defense,
Striped Hyena variant 66,Mammal,Hyaena hyaena,"Whine, whimper",Distress/Anxious,
Plover,Bird,Charadriidae sp.,Aggressive scolding,Aggression/Defense,in presence of human
Red Junglefowl variant 22,Bird,Gallus gallus,Soft contact calls,Content/Comfort,at dawn
Red Junglefowl variant 22,Bird,Gallus gallus,Bill-clacking,Threat,at dusk
Black-headed Ibis,Bird,Threskiornis melanocephalus,Fleeing chatter,Fear/Escape,
Sandpiper variant 24,Bird,Scolopacidae sp.,Wing-flap displays,Excitement/Display,at dawn
Indian Roller variant 7,Bird,Coracias benghalensis,Purring or soft chatter,Affiliative/Relaxed,
Spoonbill,Bird,Platalea leucorodia,Distress squeal,Distress/Separation,
Black-headed Ibis variant 29,Bird,Threskiornis melanocephalus,Soft contact calls,Content/Comfort,
Common Krait,Reptile,Bungarus caeruleus,Slow low moan,Distress,
Kangaroo,Mammal,Macropus,"Squeak, contact call",Contact/Neutral,near nesting site
Brown Palm Civet variant 67,Mammal,Paradoxurus jerdoni,"Squeak, contact call",Contact/Neutral,
Indian Grey Mongoose,Mammal,Herpestes edwardsii,"Trumpet, rumble",Alarm/Excited,
Indian Pond Heron,Bird,Ardeola grayii,"Song, melodious trills",Courtship/Excited,when separated from group
Asian Koel,Bird,Eudynamys scolopaceus,Mobbing calls,Group Alarm,in presence of human
Common Kingfisher,Bird,Alcedo atthis,Distress squeal,Distress/Separation,
Greater Coucal,Bird,Centropus sinensis,"Chirp, cheep",Contact/Neutral,during mating display
Indian Peafowl variant 1,Bird,Pavo cristatus,Bill-clacking,Threat,
House Crow,Bird,Corvus splendens,Aggressive scolding,Aggression/Defense,
Hanuman Langur,Mammal,Semnopithecus entellus,"Roar, long call",Territorial/Aggressive,
Rose-ringed Parakeet,Bird,Psittacula krameri,Wing-flap displays,Excitement/Display,
Small Indian Civet variant 64,Mammal,Viverricula indica,"Purr, contented vocalization",Contentment/Relaxed,
Chital variant 41,Mammal,Axis axis,Hiss,Threat/Avoidance,
Rusty-spotted Cat variant 62,Mammal,Prionailurus rubiginosus,"Bark, woof",Alert/Excited,
Sloth Bear variant 38,Mammal,Melursus ursinus,"Growl, snarl",Aggression,
Fantail Flycatcher,Bird,Rhipidura,Wing-flap displays,Excitement/Display,near nesting site
Eurasian Eagle-Owl,Bird,Bubo bubo,Soft contact calls,Content/Comfort,
Cattle Egret,Bird,Bubulcus ibis,Distress squeal,Distress/Separation,
Mugger Crocodile,Reptile,Crocodylus palustris,Aggressive lunge sound,Aggression,in presence of human
Striped Hyena,Mammal,Hyaena hyaena,"Trumpet, rumble",Alarm/Excited,
Cattle Egret,Bird,Bubulcus ibis,"Chirp, cheep",Contact/Neutral,during mating display
Rock Pigeon,Bird,Columba livia,Wing-flap displays,Excitement/Display,during foraging
Cattle Egret variant 11,Bird,Bubulcus ibis,"Song, melodious trills",Courtship/Excited,
Domestic Dog variant 58,Mammal,Canis familiaris,Loud bawl,Distress/Alarm,
Indian Grey Mongoose,Mammal,Herpestes edwardsii,"Whine, whimper",Distress/Anxious,during mating display
Hanuman Langur,Mammal,Semnopithecus entellus,"Bark, woof",Alert/Excited,
Guppy,Fish,Poecilia reticulata,Calm bubbling,Neutral,
Moorhen variant 26,Bird,Gallinula chloropus,"Song, melodious trills",Courtship/Excited,
Rohu,Fish,Labeo rohita,Calm bubbling,Neutral,
